size,algo,modelingtime,encdatabasetime,encqueriestime,buildtime,querytime,params,recall
300K,lmi,0.0,0.0,0.0,36.709550857543945,17.890403985977173,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=9,0.8856033333333333
300K,lmi,0.0,0.0,0.0,36.709550857543945,9.521080255508423,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=4,0.7904266666666667
300K,lmi,0.0,0.0,0.0,36.709550857543945,52.576661825180054,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=30,0.96228
300K,lmi,0.0,0.0,0.0,36.709550857543945,21.634974241256714,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=12,0.91004
300K,lmi,0.0,0.0,0.0,36.709550857543945,39.11879277229309,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=21,0.9460966666666667
300K,lmi,0.0,0.0,0.0,36.709550857543945,11.33086109161377,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=5,0.8221066666666667
300K,lmi,0.0,0.0,0.0,36.709550857543945,46.944666624069214,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=28,0.9593533333333333
300K,lmi,0.0,0.0,0.0,36.709550857543945,37.53255534172058,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=22,0.9484666666666667
300K,lmi,0.0,0.0,0.0,36.709550857543945,27.550110340118408,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=15,0.9256133333333333
300K,lmi,0.0,0.0,0.0,36.709550857543945,24.68329644203186,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=13,0.91621
300K,lmi,0.0,0.0,0.0,36.709550857543945,47.5521137714386,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=27,0.9577533333333333
300K,lmi,0.0,0.0,0.0,36.709550857543945,19.76968288421631,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=10,0.8947433333333333
300K,lmi,0.0,0.0,0.0,36.709550857543945,34.64296317100525,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=19,0.94057
300K,lmi,0.0,0.0,0.0,36.709550857543945,38.55577731132507,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=20,0.9433933333333333
300K,lmi,0.0,0.0,0.0,36.709550857543945,43.23335909843445,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=25,0.9544366666666667
300K,lmi,0.0,0.0,0.0,36.709550857543945,32.43097686767578,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=18,0.9374466666666667
300K,lmi,0.0,0.0,0.0,36.709550857543945,7.6033289432525635,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=3,0.7451533333333333
